Date,Amount,Location,Store,Fraudulent
2009-07-30,686.27,South Marioberg,Wilson and Sons,False
1970-10-20,399.19,Rodriguezshire,Reed-Peterson,False
1995-06-10,366.46,West Shaunburgh,"Jones, Foster and Mendez",False
2000-07-28,879.03,Cathyburgh,Mcmillan LLC,True
2014-03-19,770.71,North Benjaminbury,Davies Inc,False
2010-03-03,602.79,South Ryanborough,"Ford, Williams and Sandoval",True
2022-12-03,172.64,Reginaldfurt,Hernandez-Olson,True
1999-12-28,67.79,Daveside,Guzman-Simpson,True
2009-02-06,990.58,South Olivia,"Grant, Velasquez and Baker",True
2001-03-30,157.42,New Andrewtown,"Butler, Greene and Ellis",True
1973-04-08,745.79,Levishire,Mcguire-Martin,True
1975-08-22,914.1,West Laurenborough,Patel LLC,False
2003-10-01,88.92,Anthonyport,"Jackson, Johnston and Rojas",True
1988-05-06,200.04,Averytown,Rodriguez-Berger,True
2012-12-04,790.24,East Christian,Young LLC,False
2019-04-01,508.54,Vaughnborough,Reynolds PLC,False
2014-10-31,333.1,North Michellechester,Bradley Inc,True
1979-04-21,553.63,New Jennifer,Johnson LLC,False
1975-08-03,864.94,East Crystalton,Simmons-Valdez,True
2012-12-26,637.62,Victorland,Gonzales-Kelly,False
2009-03-29,850.63,Meltonbury,Khan-Greene,False
1984-07-07,217.88,Carlborough,Mcintosh Group,False
2003-10-04,605.24,Lake Jamieshire,"Miller, Lynch and Kirk",False
2015-10-22,934.38,Smithview,Owens-Hanson,False
1993-10-25,224.15,Jessicamouth,Pruitt Ltd,True
2013-12-01,439.16,Deanfort,"Johnston, Lee and Richardson",True
2010-08-04,925.27,Bettyhaven,Shelton-Porter,False
1992-10-04,769.6,West Sherri,Taylor-Johnson,False
2009-06-27,801.88,North Laurie,"Smith, Brewer and Tucker",False
2010-12-21,333.36,Amandahaven,"Rhodes, Zhang and Meyers",False
2022-08-03,573.15,Lake Jeffrey,Hill Inc,False
2023-01-18,185.5,North Kristen,"Young, Cole and Wilson",False
1983-03-12,658.58,Lake Claudia,Strickland-Peterson,False
2013-08-21,499.0,Juanfurt,"Mccullough, Johnson and Patel",False
2024-10-07,994.4,Anthonybury,"Leonard, Briggs and Gamble",False
1975-12-12,781.26,North Chadhaven,"Wells, Walker and Blackwell",True
2010-03-10,205.4,Franklinville,Kirby-Holmes,True
2014-08-31,161.36,West Katherineville,"Brown, Hogan and Dunn",True
1997-06-04,611.37,North Evan,"Bennett, Callahan and Henry",True
2023-10-10,554.12,Leeton,Parrish Ltd,True
1970-03-04,466.82,Hudsonton,Berg-Morris,True
1985-11-18,890.41,Christensenchester,Stevenson Ltd,False
1997-03-21,3.71,Lake Brettmouth,"Williams, Chambers and Tanner",False
2012-09-23,644.67,Bakertown,"Diaz, Ford and Montgomery",False
1976-01-14,540.86,New Brendashire,"Weber, Allen and Hall",True
1997-07-11,144.13,South Deanna,"Carter, Fletcher and Miller",True
2012-09-16,982.11,West Lisaburgh,Potter-Tran,False
2001-04-03,591.82,Brownshire,Garner-Park,True
1994-04-27,280.83,Ericview,Mack-Walker,False
1970-03-30,876.29,Port Andrewshire,Stewart-Webb,False
